2026-09-10T14:36:17-04:00 sparky kernel: overlayfs: fs on '4' does not support file handles, falling back to xino=off.
2026-09-10T14:38:00-04:00 sparky kernel: overlayfs: fs on '4' does not support file handles, falling back to xino=off.
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:41:16-04:00 sparky kernel: NVRM: nvCheckOkFailedNoLog: Check failed: Out of memory [NV_ERR_NO_MEMORY] (0x00000051) returned from _memdescAllocInternal(pMemDesc) @ mem_desc.c:1359
2026-09-10T14:53:27-04:00 sparky kernel: audit: type=1400 audit(1789066407.477:1432): apparmor="DENIED" operation="capable" class="cap" profile="ubuntu_pro_esm_cache_systemd_detect_virt" pid=916569 comm="systemd-detect-" capability=38  capname="perfmon"
2026-09-10T14:53:27-04:00 sparky kernel: audit: type=1400 audit(1789066407.480:1433): apparmor="DENIED" operation="capable" class="cap" profile="ubuntu_pro_esm_cache//cloud_id" pid=916383 comm="cloud-id" capability=38  capname="perfmon"
