0896558d5fe4	docker.io/library/a2c8c5ec7052ba4acd05ab1c33c050e86e7046715f8b3c3a1380ced45c3a190e-tmp:latest	storage	0896558d5fe4-working-container
c4a1d51d68f9	docker.io/library/925892de4ee8f01c1e7fc2cc990e2a8f4dad2c609999f5fff99f5e1783992dd9-tmp:latest	storage	c4a1d51d68f9-working-container
da8038597c05	docker.io/library/f6f888c3eef16ecc1bdd8759dc0d7be224d3b5f15cf7eafe79e9d8896e64aee9-tmp:latest	storage	da8038597c05-working-container
30b5d2083300	docker.io/library/c4cd149ed6051ccb97e3f65c0c296e4b21cb79931eb826b808632116a86f1cd4-tmp:latest	storage	30b5d2083300-working-container
d81a9a1d2aa7	docker.io/library/d6c5acbcff5b5ac59f95f06b1307dba97c18935ea701065045d0d9c2e5622e0c-tmp:latest	storage	d81a9a1d2aa7-working-container
340f4bfc1cc2	docker.io/library/268621ae683d331515133b709fac5626476f82e7dcbdad1dee261c95fff4e467-tmp:latest	storage	340f4bfc1cc2-working-container
78921c9954d2	docker.io/library/c47b052277fe10a10283f525c028b78e6a3bc4436c32c1b049ab1ee4e43b707a-tmp:latest	storage	78921c9954d2-working-container
8066e56a642f	docker.io/library/d140f684970a8e1cd841439e07c850ea37d15abf23323756ab9f55351a77b6a9-tmp:latest	storage	8066e56a642f-working-container
b65162ec72e4	ghcr.io/astral-sh/uv:0.12.13	storage	uv-working-container
92bc91097685	docker.io/nvidia/cuda:13.0.2-cudnn-devel-ubuntu24.04	storage	cuda-working-container
46e443b1e6f8	docker.io/library/651a9a6de0aed2e7ee3d648cf8b8632db36dc5cbdda07359e003b8a2aa5bd5a9-tmp:latest	storage	46e443b1e6f8-working-container
9dfb6d8d5f38	docker.io/library/738b46916e0b86d30b73cae577150ef74c7074ae8051dc114fce636d64083933-tmp:latest	storage	9dfb6d8d5f38-working-container
8f04ca0407cd	docker.io/library/d6e5a98f608b4afd31b766fa08bf78c1e1fcdc40a691c4b42db7e1980fb211ea-tmp:latest	storage	8f04ca0407cd-working-container
b996832d73d3	docker.io/library/ef58438c6c2406bc19b61ee7414510c0667d775bd4346e5613d96d985cca4c47-tmp:latest	storage	b996832d73d3-working-container
bb57959b31b3	docker.io/library/a3349e07f20c47b00a04343f26d7543b871be84a2c40fd5fff7b571532e35c36-tmp:latest	storage	bb57959b31b3-working-container
ea031e1d3d05	localhost/voipmonitor/vllm:jj-r38-spark-sm121	running	ds4-vision-jj-r38-tp2
